,town,lat,lon
0,ANG MO KIO,1.371233,103.845413
1,BEDOK,1.321994,103.927203
2,BISHAN,1.354950,103.838397
3,BUKIT BATOK,1.358290,103.753800
4,BUKIT MERAH,1.282805,103.823256
5,BUKIT PANJANG,1.378065,103.770504
6,BUKIT TIMAH,1.331542,103.799218
7,CENTRAL,1.285981,103.852986
8,CHOA CHU KANG,1.385733,103.746267
9,CLEMENTI,1.317485,103.763604
10,GEYLANG,1.321612,103.891555
11,HOUGANG,1.362437,103.886073
12,JURONG EAST,1.331910,103.740269
13,JURONG WEST,1.341980,103.707952
14,KALLANG/WHAMPOA,1.310356,103.865031
15,MARINE PARADE,1.303485,103.896747
16,PASIR RIS,1.373978,103.946954
17,PUNGGOL,1.399662,103.908813
18,QUEENSTOWN,1.299407,103.789538
19,SEMBAWANG,1.450914,103.819411
20,SENGKANG,1.388893,103.891984
21,SERANGOON,1.356175,103.867674
22,TAMPINES,1.348462,103.953845
23,TOA PAYOH,1.335376,103.858292
24,WOODLANDS,1.439525,103.789655
25,YISHUN,1.429467,103.835654
